id accelx accely accelz gyrox gyroy gyroz magnx magny magnz accel2x accel2y accel2z flightstatus errors ts rssi snr frequencyError
13796 -9 10 -4 1406 327 -7351 -303 265 582 122 -154 -868 LAUNCHPAD GPS 1924527 -80 7 -7507
13797 2 -10 3 -2690 -1771 -5456 -288 289 569 -55 208 -1340 LAUNCHPAD GPS 1924627 -80 8 -7507
13798 2 0 4 -558 1708 -10306 -275 315 567 32 -148 -1438 LAUNCHPAD GPS 1924728 -81 8 -7524
13799 -5 -4 -38 1416 -398 -10000 -240 330 573 -144 41 -1100 LIFTOFF GPS 1924827 -80 8 -7524
13800 -12 1 4 -369 476 -6955 -216 331 572 81 94 -1106 LAUNCHPAD GPS 1924927 -80 8 -7524
13801 6 -1 12 -495 43 -2619 -183 328 582 -144 46 -854 LAUNCHPAD GPS 1925027 -79 8 -7541
13802 -1 -10 18 -114 950 -6513 -165 331 577 2 -35 -973 LAUNCHPAD GPS 1925127 -79 8 -7541
13803 -1 -7 -31 -21 -1466 -5711 -149 318 564 -65 53 -949 LIFTOFF GPS 1925227 -77 8 -7558
13804 -1 -8 -49 -1214 -882 -8269 -129 312 567 -289 -6 -825 LIFTOFF GPS 1925327 -77 8 -7558
13805 0 -3 -22 -1564 -1130 -7409 -117 290 568 -107 -23 -1157 LAUNCHPAD GPS 1925427 -79 8 -7558
13806 -6 -2 -31 1905 1615 -10653 -102 264 566 74 43 -1429 LIFTOFF GPS 1925527 -79 8 -7574
13807 -1 -9 -13 -499 505 -7153 -97 245 571 -39 124 -1321 LAUNCHPAD GPS 1925628 -80 8 -7574
13808 -4 -14 15 -512 -1148 -6200 -103 220 572 -147 21 -1082 LAUNCHPAD GPS 1925727 -80 8 -7591
13809 4 8 -12 54 -518 -7762 -96 199 574 -130 160 -1184 LAUNCHPAD GPS 1925828 -80 8 -7591
13810 2 -3 17 316 -348 -5464 -110 182 586 216 -4 -500 LAUNCHPAD GPS 1925928 -81 7 -7591
13811 4 -7 -16 881 -301 -6666 -130 169 578 -73 -10 -346 LAUNCHPAD GPS 1926027 -81 7 -7608
13812 5 -11 -5 -588 342 -8403 -125 142 576 -116 8 -590 LAUNCHPAD GPS 1926127 -81 6 -7608
13813 9 9 -4 277 -229 -5138 -142 117 577 39 100 -792 LAUNCHPAD GPS 1926228 -83 8 -7625
13814 -3 3 -33 54 1436 -6667 -169 110 571 -58 -28 -591 LIFTOFF GPS 1926327 -83 8 -7625
13815 1 0 -3 -590 -288 -8047 -192 97 581 -7 50 -930 LAUNCHPAD GPS 1926427 -82 7 -7642
13816 0 -4 18 46 625 -6603 -206 104 579 -76 20 -619 LAUNCHPAD GPS 1926527 -82 8 -7642
13817 -3 0 -16 1460 413 -7001 -239 114 574 -100 17 -527 LAUNCHPAD GPS 1926627 -82 7 -7642
13818 -1 5 -19 326 -134 -8394 -260 106 577 -57 60 -627 LAUNCHPAD GPS 1926728 -82 8 -7658
13819 2 -2 20 631 -1345 -5432 -271 113 576 0 -105 -838 LAUNCHPAD GPS 1926828 -81 6 -7658
13820 4 -1 -17 42 65 -6964 -294 139 583 -250 56 -500 LAUNCHPAD GPS 1926927 -82 6 -7658
13821 -1 -1 -26 294 -66 -6734 -299 153 581 110 -22 -1360 LAUNCHPAD GPS 1927027 -82 6 -7675
13822 -4 -9 -8 -576 -39 -6789 -308 178 582 -56 145 -443 LAUNCHPAD GPS 1927128 -82 7 -7692
13823 1 2 9 -1190 -526 -7085 -311 194 584 15 -82 -1039 LAUNCHPAD NONE 1927227 -81 8 -7675
13824 3 -2 -3 -283 342 -8701 -316 217 577 -119 -7 -727 LAUNCHPAD NONE 1927328 -83 8 -7675
13825 -5 -1 1 -721 -158 -6132 -325 229 576 -70 -14 -515 LAUNCHPAD NONE 1927427 -84 8 -7692
13826 1 2 -33 1035 910 -6280 -310 250 578 71 38 -890 LIFTOFF NONE 1927527 -83 8 -7692
13827 -4 -2 2 507 722 -5355 -310 287 573 -42 -153 -261 LAUNCHPAD NONE 1927627 -84 7 -7709
13828 -5 0 -17 -1127 280 -8344 -290 286 569 31 103 -876 LAUNCHPAD NONE 1927727 -85 8 -7709
13829 1 -2 3 678 -337 -5656 -270 315 582 -29 -69 -623 LAUNCHPAD NONE 1927827 -84 8 -7709
13830 -11 0 -3 570 293 -6389 -256 308 573 34 41 -696 LAUNCHPAD NONE 1927927 -83 8 -7725
13831 -4 1 2 -1253 -56 -5675 -237 339 569 -87 -91 -372 LAUNCHPAD NONE 1928027 -83 8 -7725
13832 -1 3 -18 537 -19 -4658 -216 334 567 194 121 -585 LAUNCHPAD NONE 1928127 -84 8 -7725
13833 -4 0 11 520 1078 -4669 -203 349 574 -201 -34 -636 LAUNCHPAD NONE 1928228 -82 7 -7742
13834 1 0 -21 -477 -494 -5996 -187 327 558 104 61 -298 LAUNCHPAD GPS 1928327 -83 8 -7759
13835 -4 4 14 165 774 -5191 -167 339 562 -116 93 -536 LAUNCHPAD GPS 1928428 -82 8 -7742
13836 -6 -6 -6 -709 115 -6397 -142 331 564 -98 -1 -688 LAUNCHPAD GPS 1928527 -81 6 -7742
13837 -5 -1 -10 -155 354 -5931 -117 316 560 -30 182 -533 LAUNCHPAD GPS 1928627 -81 6 -7759
13838 5 -2 -7 775 1295 -5655 -110 306 555 -212 44 -369 LAUNCHPAD GPS 1928727 -80 6 -7759
13839 1 -1 -2 -1109 -450 -5973 -92 298 563 -124 -207 -407 LAUNCHPAD GPS 1928828 -80 8 -7776
13840 0 6 2 -162 -657 -6407 -93 270 567 75 180 -216 LAUNCHPAD GPS 1928927 -80 8 -7759
13841 -1 -3 -1 993 1717 -5421 -93 246 569 -230 -138 -639 LAUNCHPAD GPS 1929028 -82 7 -7776
13842 -7 2 -14 -448 171 -6094 -80 241 562 -132 55 -443 LAUNCHPAD GPS 1929128 -79 8 -7793
13843 -6 -2 -18 -1053 -807 -6250 -88 196 567 130 72 -404 LAUNCHPAD GPS 1929227 -79 8 -7809
13844 8 -3 -17 1210 1311 -5475 -92 190 560 -270 119 -245 LAUNCHPAD GPS 1929328 -81 7 -7793
13845 0 1 2 -1421 -116 -5090 -99 169 563 -106 -140 -292 LAUNCHPAD GPS 1929428 -80 8 -7793
13846 -7 -1 0 324 -320 -4937 -105 145 573 121 142 -344 LAUNCHPAD GPS 1929527 -81 7 -7809
13847 -2 -3 -58 483 905 -5602 -107 129 566 -165 -42 -432 LIFTOFF GPS 1929627 -82 6 -7809
13848 5 6 -2 -1216 -531 -5381 -128 121 566 -15 -37 -439 LAUNCHPAD GPS 1929728 -81 6 -7809
13849 -1 6 -6 436 108 -4781 -148 95 573 95 86 -313 LAUNCHPAD GPS 1929827 -81 6 -7809
13850 4 -1 -6 368 1077 -4898 -156 100 566 -118 -2 -540 LAUNCHPAD GPS 1929928 -82 6 -7826
13851 3 -1 -9 -1039 73 -5041 -169 95 571 -33 11 -483 LAUNCHPAD GPS 1930028 -81 6 -7809
13852 -6 1 10 139 -401 -5412 -190 77 562 72 75 -318 LAUNCHPAD GPS 1930127 -81 6 -7826
13853 2 -1 -8 169 453 -5542 -215 84 576 -114 -45 -580 LAUNCHPAD GPS 1930227 -81 6 -7826
13854 -3 -2 9 -96 -286 -4661 -226 77 564 -10 -63 -294 LAUNCHPAD GPS 1930328 -81 6 -7843
13855 5 0 -3 -371 -484 -5168 -254 96 567 -52 49 -473 LAUNCHPAD GPS 1930427 -82 7 -7843
